PM2.5,PM2.5(D-1),PM2.5(D-3),PM2.5(D-7),PM2.5(D+1),PM2.5(D+3),PM2.5(D+7),Season_Summer,Season_Rainy,Season_Winter
36.0,38.0,20.0,18.0,28.0,25.0,28.0,0,0,1
28.0,36.0,23.0,25.0,32.0,21.0,26.0,0,0,1
32.0,28.0,38.0,25.0,25.0,18.0,47.0,0,0,1
25.0,32.0,36.0,17.0,21.0,25.0,69.0,0,0,1
21.0,25.0,28.0,20.0,18.0,28.0,74.0,0,0,1
18.0,21.0,32.0,23.0,25.0,26.0,57.0,0,0,1
25.0,18.0,25.0,38.0,28.0,47.0,38.0,0,0,1
28.0,25.0,21.0,36.0,26.0,69.0,27.0,0,0,1
26.0,28.0,18.0,28.0,47.0,74.0,44.0,0,0,1
47.0,26.0,25.0,32.0,69.0,57.0,59.0,0,0,1
69.0,47.0,28.0,25.0,74.0,38.0,62.0,0,0,1
74.0,69.0,26.0,21.0,57.0,27.0,79.0,0,0,1
57.0,74.0,47.0,18.0,38.0,44.0,60.0,0,0,1
38.0,57.0,69.0,25.0,27.0,59.0,27.0,0,0,1
27.0,38.0,74.0,28.0,44.0,62.0,22.0,0,0,1
44.0,27.0,57.0,26.0,59.0,79.0,24.0,0,0,1
59.0,44.0,38.0,47.0,62.0,60.0,30.0,0,0,1
62.0,59.0,27.0,69.0,79.0,27.0,29.0,0,0,1
79.0,62.0,44.0,74.0,60.0,22.0,35.0,0,0,1
60.0,79.0,59.0,57.0,27.0,24.0,40.0,0,0,1
27.0,60.0,62.0,38.0,22.0,30.0,41.0,0,0,1
22.0,27.0,79.0,27.0,24.0,29.0,58.0,0,0,1
24.0,22.0,60.0,44.0,30.0,35.0,53.0,0,0,1
30.0,24.0,27.0,59.0,29.0,40.0,47.0,0,0,1
29.0,30.0,22.0,62.0,35.0,41.0,45.0,0,0,1
35.0,29.0,24.0,79.0,40.0,58.0,49.0,0,0,1
40.0,35.0,30.0,60.0,41.0,53.0,42.0,0,0,1
41.0,40.0,29.0,27.0,58.0,47.0,52.0,0,0,1
58.0,41.0,35.0,22.0,53.0,45.0,27.0,0,0,1
53.0,58.0,40.0,24.0,47.0,49.0,32.0,0,0,1
47.0,53.0,41.0,30.0,45.0,42.0,26.0,0,0,1
45.0,47.0,58.0,29.0,49.0,52.0,23.0,0,0,1
49.0,45.0,53.0,35.0,42.0,27.0,27.0,0,0,1
